c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
24,PV684,SY5,SY2,Fixe,21/10/2022 16:04:52,21/10/2022 16:04:52,00:24:06,Statique ou FastStatic,7 640.930,0.010,0.010,0.020,10,1 445
25,PV715,SY8,Amandier1,Fixe,04/11/2022 16:38:47,04/11/2022 16:38:47,00:03:55,Arrêt et marche,2 623.390,0.140,0.020,0.030,9,236
26,PV690,SY8,B1Rf,Fixe,04/11/2022 14:38:10,04/11/2022 14:38:10,00:03:03,Arrêt et marche,2 572.510,0.140,0.010,0.020,9,184
27,PV692,SY8,B1Rf-R57031,Fixe,04/11/2022 15:00:38,04/11/2022 15:00:38,00:03:08,Arrêt et marche,2 503.800,0.140,0.010,0.020,9,189
28,PV687,SY8,B1Rf-R57517,Fixe,04/11/2022 14:21:03,04/11/2022 14:21:03,00:03:03,Arrêt et marche,2 627.560,0.140,0.010,0.020,8,184
29,PV691,SY8,B2Rf,Fixe,04/11/2022 14:49:29,04/11/2022 14:49:29,00:03:04,Arrêt et marche,2 513.900,0.140,0.010,0.020,9,185
30,PV688,SY8,B2Rf-R57517,Fixe,04/11/2022 14:26:07,04/11/2022 14:26:07,00:03:04,Arrêt et marche,2 615.330,0.140,0.010,0.020,9,185
31,PV689,SY8,B2Rf-R58182,Fixe,04/11/2022 14:33:14,04/11/2022 14:33:14,00:03:02,Arrêt et marche,2 570.280,0.140,0.010,0.020,9,183
32,PV693,SY8,B39853,Fixe,04/11/2022 15:08:34,04/11/2022 15:08:34,00:03:05,Arrêt et marche,2 527.150,0.140,0.020,0.060,8,186
33,PV694,SY8,cour1,Fixe,04/11/2022 15:18:41,04/11/2022 15:18:41,00:03:11,Arrêt et marche,2 549.100,0.140,0.020,0.030,8,192
34,PV695,SY8,cour2,Fixe,04/11/2022 15:22:12,04/11/2022 15:22:12,00:03:07,Arrêt et marche,2 557.930,0.140,0.040,0.030,8,188
35,PV697,SY8,se1,Fixe,04/11/2022 15:33:56,04/11/2022 15:33:56,00:03:41,Arrêt et marche,2 580.270,0.140,0.010,0.020,9,222
36,PV698,SY8,se2,Fixe,04/11/2022 15:37:18,04/11/2022 15:37:18,00:03:04,Arrêt et marche,2 583.130,0.140,0.010,0.020,9,185
37,PV699,SY8,se3,Fixe,04/11/2022 15:41:07,04/11/2022 15:41:07,00:03:34,Arrêt et marche,2 590.170,0.140,0.010,0.020,9,215
38,PV700,SY8,se4,Fixe,04/11/2022 15:44:20,04/11/2022 15:44:20,00:03:04,Arrêt et marche,2 593.430,0.140,0.020,0.030,9,185
39,PV701,SY8,se5,Fixe,04/11/2022 15:47:49,04/11/2022 15:47:49,00:03:06,Arrêt et marche,2 595.300,0.140,0.020,0.020,8,187
40,PV702,SY8,se6,Fixe,04/11/2022 15:51:06,04/11/2022 15:51:06,00:03:10,Arrêt et marche,2 596.580,0.140,0.020,0.020,8,191
41,PV703,SY8,se7,Fixe,04/11/2022 15:54:19,04/11/2022 15:54:19,00:03:04,Arrêt et marche,2 597.600,0.140,0.010,0.020,8,185
42,PV704,SY8,se8,Fixe,04/11/2022 15:57:41,04/11/2022 15:57:41,00:03:03,Arrêt et marche,2 599.220,0.140,0.010,0.020,8,184
43,PV706,SY8,se9,Fixe,04/11/2022 16:04:42,04/11/2022 16:04:42,00:03:05,Arrêt et marche,2 615.210,0.140,0.050,0.050,6,186
44,PV708,SY8,se10,Fixe,04/11/2022 16:13:07,04/11/2022 16:13:07,00:03:03,Arrêt et marche,2 621.520,0.140,0.040,0.050,8,184
45,PV710,SY8,se11,Fixe,04/11/2022 16:19:34,04/11/2022 16:19:34,00:03:04,Arrêt et marche,2 629.500,0.140,0.050,0.040,9,185
46,PV713,SY8,se12,Fixe,04/11/2022 16:30:23,04/11/2022 16:30:23,00:03:04,Arrêt et marche,2 634.880,0.140,0.030,0.040,9,185
47,PV714,SY8,se13,Fixe,04/11/2022 16:33:52,04/11/2022 16:33:52,00:03:04,Arrêt et marche,2 636.960,0.140,0.020,0.020,9,185
48,PV686,SY8,SY2,Fixe,21/10/2022 16:04:52,21/10/2022 16:04:52,00:24:06,Statique ou FastStatic,8 059.030,0.010,0.010,0.010,14,1 445
49,PV685,SY8,SY5,Fixe,21/10/2022 17:45:13,21/10/2022 17:45:13,06:11:13,Statique ou FastStatic,4 958.240,0.010,0.000,0.010,10,22 272
