ID,ID Vec.,De,Vers,Heure Début,Heure Fin,Durée,Méthode Terrain,Solution,Longueur (m),RMS (m),Prec. Horiz. (m),Prec. Vert. (m),Satellites,Nb Epoques
14,PV85,CTB26,CTB160,19/05/2017 17:11:05,19/05/2017 17:11:05,00:46:05,Statique ou FastStatic,Fixe,6 086.260,0.010,0.010,0.010,15,183
15,PV229,CTB26,FOUM JEMAA,19/05/2017 17:24:30,19/05/2017 17:24:30,01:32:40,Statique ou FastStatic,Fixe,3 769.730,0.000,0.000,0.020,9,369
16,PV218,CTB26,TAQYYOUT,20/05/2017 12:40:05,20/05/2017 12:40:05,03:07:10,Statique ou FastStatic,Fixe,2 056.260,0.000,0.000,0.010,10,2 245
17,PV238,CTB26,TOUMLILINE,19/05/2017 17:08:05,19/05/2017 17:08:05,00:30:05,Statique ou FastStatic,Fixe,2 578.800,0.010,0.000,0.010,15,119
18,PV160,CTB27,BT11,19/05/2017 15:15:50,19/05/2017 15:15:50,05:27:50,Statique ou FastStatic,Fixe,3 512.910,0.000,0.000,0.010,18,1 310
19,PV158,CTB27,BT11,19/05/2017 17:10:20,19/05/2017 17:10:20,01:26:55,Statique ou FastStatic,Fixe,3 512.920,0.010,0.000,0.010,16,346
20,PV154,CTB27,CTB26,19/05/2017 17:10:45,19/05/2017 17:10:45,02:25:45,Statique ou FastStatic,Fixe,4 604.660,0.010,0.000,0.010,16,582
21,PV204,CTB27,DR BOUTOUHALT,19/05/2017 17:10:45,19/05/2017 17:10:45,04:37:20,Statique ou FastStatic,Fixe,3 802.310,0.000,0.000,0.010,16,1 108
22,PV226,CTB27,FOUM JEMAA,19/05/2017 17:10:45,19/05/2017 17:10:45,01:18:55,Statique ou FastStatic,Fixe,2 299.890,0.000,0.000,0.010,9,314
23,PV149,CTB27,GPS1,19/05/2017 15:16:10,19/05/2017 15:16:10,04:31:50,Statique ou FastStatic,Fixe,3 786.140,0.000,0.000,0.010,10,1 085
24,PV155,CTB27,GPS4,19/05/2017 14:20:00,19/05/2017 14:20:00,04:08:15,Statique ou FastStatic,Fixe,1 771.180,0.000,0.000,0.000,18,992
25,PV235,CTB27,TOUMLILINE,19/05/2017 17:08:05,19/05/2017 17:08:05,00:30:05,Statique ou FastStatic,Fixe,3 854.300,0.010,0.010,0.010,15,119
26,PV161,CTB157,8,20/05/2017 12:44:45,20/05/2017 12:44:45,02:43:30,Statique ou FastStatic,Fixe,7 696.670,0.010,0.000,0.020,19,1 961
27,PV141,CTB157,CTB26,20/05/2017 12:59:15,20/05/2017 12:59:15,04:25:15,Statique ou FastStatic,Fixe,5 607.270,0.010,0.000,0.010,10,3 182
28,PV104,CTB157,CTB26,19/05/2017 17:24:30,19/05/2017 17:24:30,02:39:30,Statique ou FastStatic,Fixe,5 607.280,0.010,0.000,0.010,16,626
29,PV217,CTB157,TAQYYOUT,20/05/2017 12:40:05,20/05/2017 12:40:05,03:07:10,Statique ou FastStatic,Fixe,3 915.520,0.000,0.000,0.010,19,2 245
30,PV236,CTB157,TOUMLILINE,19/05/2017 17:08:05,19/05/2017 17:08:05,00:30:05,Statique ou FastStatic,Fixe,4 190.590,0.010,0.010,0.010,16,346
31,PV112,CTB158,CTB160,20/05/2017 12:33:20,20/05/2017 12:33:20,01:39:10,Statique ou FastStatic,Fixe,4 049.070,0.000,0.000,0.020,18,1 189
32,PV111,CTB158,S3,20/05/2017 12:31:15,20/05/2017 12:31:15,00:34:15,Statique ou FastStatic,Fixe,4 699.960,0.010,0.010,0.010,14,136
33,PV230,CTB160,FOUM JEMAA,19/05/2017 17:11:05,19/05/2017 17:11:05,00:46:05,Statique ou FastStatic,Fixe,3 940.260,0.020,0.010,0.010,9,552
34,PV89,CTB160,S3,20/05/2017 12:31:15,20/05/2017 12:31:15,00:34:15,Statique ou FastStatic,Fixe,3 355.910,0.000,0.000,0.010,16,136
35,PV96,CTB162,CTB160,19/05/2017 17:11:05,19/05/2017 17:11:05,00:46:05,Statique ou FastStatic,Fixe,4 906.720,0.010,0.010,0.010,16,501
36,PV82,CTB162,CTB160,20/05/2017 12:36:35,20/05/2017 12:36:35,01:42:25,Statique ou FastStatic,Fixe,4 906.750,0.020,0.000,0.020,19,1 201
37,PV175,CTB162,KOUDIAT SIDI BAZA,20/05/2017 12:37:15,20/05/2017 12:37:15,02:06:30,Statique ou FastStatic,Fixe,4 671.850,0.010,0.000,0.010,19,1 517
38,PV188,CTB162,KOUDIAT SIDI BAZA,19/05/2017 17:11:30,19/05/2017 17:11:30,02:27:45,Statique ou FastStatic,Fixe,4 671.820,0.010,0.000,0.010,16,1 634
39,PV90,CTB162,S3,20/05/2017 12:31:15,20/05/2017 12:31:15,00:34:15,Statique ou FastStatic,Fixe,4 843.830,0.010,0.010,0.010,16,136
40,PV198,DR AMCHABBAK,GPS2,19/05/2017 11:37:25,19/05/2017 11:37:25,01:31:25,Statique ou FastStatic,Fixe,3 730.980,0.000,0.000,0.020,19,1 096
41,PV207,DR BOUTOUHALT,CTB157,19/05/2017 17:16:40,19/05/2017 17:16:40,03:46:30,Statique ou FastStatic,Fixe,4 320.980,0.010,0.000,0.010,16,2 717
42,PV206,DR BOUTOUHALT,GPS1,19/05/2017 15:16:10,19/05/2017 15:16:10,02:42:45,Statique ou FastStatic,Fixe,2 400.200,0.000,0.000,0.010,9,1 952
43,PV233,DR BOUTOUHALT,TOUMLILINE,19/05/2017 17:08:05,19/05/2017 17:08:05,00:30:05,Statique ou FastStatic,Fixe,1 532.630,0.000,0.000,0.000,16,346
44,PV231,FOUM JEMAA,BT11,19/05/2017 17:10:20,19/05/2017 17:10:20,01:18:30,Statique ou FastStatic,Fixe,2 636.770,0.010,0.010,0.020,9,941
45,PV118,GPS1,GPS2,19/05/2017 11:56:15,19/05/2017 11:56:15,01:11:55,Statique ou FastStatic,Fixe,4 212.790,0.000,0.000,0.020,10,862
46,PV123,GPS1,GPS4,19/05/2017 14:20:00,19/05/2017 14:20:00,03:35:40,Statique ou FastStatic,Fixe,3 894.090,0.000,0.000,0.010,10,861
47,PV132,GPS1,GPS5,19/05/2017 15:16:10,19/05/2017 15:16:10,04:20:00,Statique ou FastStatic,Fixe,2 691.000,0.000,0.000,0.010,10,3 119
48,PV200,GPS4,DR AMCHABBAK,19/05/2017 11:37:25,19/05/2017 11:37:25,01:25:40,Statique ou FastStatic,Fixe,2 018.280,0.000,0.000,0.010,18,341
49,PV115,GPS4,GPS2,19/05/2017 11:56:15,19/05/2017 11:56:15,01:44:30,Statique ou FastStatic,Fixe,4 308.170,0.000,0.000,0.020,18,417
50,PV181,GPS4,MEKOUSSA,19/05/2017 11:53:30,19/05/2017 11:53:30,01:41:45,Statique ou FastStatic,Fixe,3 395.300,0.000,0.000,0.020,17,406
51,PV134,GPS5,CTB157,19/05/2017 15:23:00,19/05/2017 15:23:00,01:52:50,Statique ou FastStatic,Fixe,5 221.770,0.010,0.000,0.020,15,1 326
52,PV205,GPS5,DR BOUTOUHALT,19/05/2017 15:23:00,19/05/2017 15:23:00,02:49:35,Statique ou FastStatic,Fixe,3 485.410,0.000,0.000,0.010,16,1 956
53,PV133,GPS5,GPS2,19/05/2017 11:56:15,19/05/2017 11:56:15,01:00:05,Statique ou FastStatic,Fixe,5 760.070,0.010,0.000,0.020,18,720
54,PV92,GPS12,BT10,19/05/2017 11:25:25,19/05/2017 11:25:25,01:17:15,Statique ou FastStatic,Fixe,5 974.780,0.000,0.000,0.020,19,926
55,PV199,GPS12,DR AMCHABBAK,19/05/2017 11:37:25,19/05/2017 11:37:25,01:57:50,Statique ou FastStatic,Fixe,4 036.820,0.000,0.000,0.010,19,1 413
56,PV114,GPS12,GPS2,19/05/2017 11:44:10,19/05/2017 11:44:10,01:38:10,Statique ou FastStatic,Fixe,6 936.800,0.000,0.000,0.020,19,1 177
57,PV180,GPS12,MEKOUSSA,19/05/2017 11:44:10,19/05/2017 11:44:10,02:11:25,Statique ou FastStatic,Fixe,2 845.620,0.010,0.000,0.010,18,1 576
58,PV174,KOUDIAT SIDI BAZA,CTB160,20/05/2017 12:36:35,20/05/2017 12:36:35,01:42:25,Statique ou FastStatic,Fixe,1 870.140,0.000,0.000,0.000,19,1 228
59,PV190,KOUDIAT SIDI BAZA,CTB160,19/05/2017 17:11:05,19/05/2017 17:11:05,00:46:05,Statique ou FastStatic,Fixe,1 870.220,0.000,0.000,0.000,16,552
60,PV182,MEKOUSSA,BT10,19/05/2017 11:25:25,19/05/2017 11:25:25,01:17:15,Statique ou FastStatic,Fixe,4 549.250,0.000,0.000,0.020,18,926
61,PV194,MEKOUSSA,DR AMCHABBAK,19/05/2017 11:37:25,19/05/2017 11:37:25,01:57:50,Statique ou FastStatic,Fixe,2 491.690,0.000,0.000,0.010,18,1 413
62,PV216,TAQYYOUT,8,20/05/2017 12:40:05,20/05/2017 12:40:05,02:38:50,Statique ou FastStatic,Fixe,4 082.600,0.000,0.000,0.010,19,1 905
