ID,ID Vec.,De,Vers,Solution,Heure Début,Heure Fin,Durée,Méthode Terrain,Longueur (m),RMS (m),Prec. Horiz. (m),Prec. Vert. (m),Satellites,Nb Epoques
17,PV156,CTB27,CTB160,Fixe,19/05/2017 17:10:45,19/05/2017 17:10:45,00:45:45,Statique ou FastStatic,6 151.564,0.006,0.006,0.008,16,182
18,PV149,CTB27,GPS1,Fixe,19/05/2017 15:16:10,19/05/2017 15:16:10,04:31:50,Statique ou FastStatic,3 786.139,0.004,0.002,0.010,10,1 085
19,PV155,CTB27,GPS4,Fixe,19/05/2017 14:20:00,19/05/2017 14:20:00,04:08:15,Statique ou FastStatic,1 771.180,0.004,0.001,0.002,18,992
20,PV161,CTB157,8,Fixe,20/05/2017 12:44:45,20/05/2017 12:44:45,02:43:30,Statique ou FastStatic,7 696.675,0.006,0.003,0.015,19,1 961
21,PV141,CTB157,CTB26,Fixe,20/05/2017 12:59:15,20/05/2017 12:59:15,04:25:15,Statique ou FastStatic,5 607.268,0.005,0.003,0.013,10,3 182
22,PV104,CTB157,CTB26,Fixe,19/05/2017 17:24:30,19/05/2017 17:24:30,02:39:30,Statique ou FastStatic,5 607.277,0.007,0.003,0.010,16,626
23,PV112,CTB158,CTB160,Fixe,20/05/2017 12:33:20,20/05/2017 12:33:20,01:39:10,Statique ou FastStatic,4 049.071,0.005,0.003,0.016,18,1 189
24,PV111,CTB158,S3,Fixe,20/05/2017 12:31:15,20/05/2017 12:31:15,00:34:15,Statique ou FastStatic,4 699.957,0.006,0.005,0.010,14,136
25,PV89,CTB160,S3,Fixe,20/05/2017 12:31:15,20/05/2017 12:31:15,00:34:15,Statique ou FastStatic,3 355.907,0.005,0.004,0.008,16,136
26,PV82,CTB162,CTB160,Fixe,20/05/2017 12:36:35,20/05/2017 12:36:35,01:42:25,Statique ou FastStatic,4 906.746,0.005,0.004,0.019,19,1 177
27,PV96,CTB162,CTB160,Fixe,19/05/2017 17:11:05,19/05/2017 17:11:05,00:46:05,Statique ou FastStatic,4 906.722,0.005,0.006,0.008,16,489
28,PV90,CTB162,S3,Fixe,20/05/2017 12:31:15,20/05/2017 12:31:15,00:34:15,Statique ou FastStatic,4 843.822,0.005,0.005,0.010,16,136
29,PV122,GPS1,CTB26,Fixe,19/05/2017 15:16:10,19/05/2017 15:16:10,00:31:10,Statique ou FastStatic,6 157.296,0.006,0.008,0.012,9,123
30,PV119,GPS1,CTB157,Fixe,19/05/2017 15:16:10,19/05/2017 15:16:10,01:46:00,Statique ou FastStatic,6 224.166,0.005,0.005,0.020,9,1 271
31,PV118,GPS1,GPS2,Fixe,19/05/2017 11:56:15,19/05/2017 11:56:15,01:11:55,Statique ou FastStatic,4 212.786,0.004,0.004,0.021,10,862
32,PV123,GPS1,GPS4,Fixe,19/05/2017 14:20:00,19/05/2017 14:20:00,03:35:40,Statique ou FastStatic,3 894.091,0.004,0.003,0.012,10,861
33,PV132,GPS1,GPS5,Fixe,19/05/2017 15:16:10,19/05/2017 15:16:10,04:20:00,Statique ou FastStatic,2 691.002,0.004,0.002,0.010,10,3 119
34,PV115,GPS4,GPS2,Fixe,19/05/2017 11:56:15,19/05/2017 11:56:15,01:44:30,Statique ou FastStatic,4 308.175,0.004,0.003,0.017,18,417
35,PV91,GPS4,GPS12,Fixe,19/05/2017 11:44:10,19/05/2017 11:44:10,01:32:25,Statique ou FastStatic,5 753.250,0.004,0.004,0.021,18,368
36,PV134,GPS5,CTB157,Fixe,19/05/2017 15:23:00,19/05/2017 15:23:00,01:52:50,Statique ou FastStatic,5 221.765,0.006,0.004,0.016,15,1 290
37,PV133,GPS5,GPS2,Fixe,19/05/2017 11:56:15,19/05/2017 11:56:15,01:00:05,Statique ou FastStatic,5 760.074,0.005,0.005,0.024,18,720
38,PV92,GPS12,BT10,Fixe,19/05/2017 11:25:25,19/05/2017 11:25:25,01:17:15,Statique ou FastStatic,5 974.778,0.004,0.004,0.021,19,926
39,PV114,GPS12,GPS2,Fixe,19/05/2017 11:44:10,19/05/2017 11:44:10,01:38:10,Statique ou FastStatic,6 936.803,0.004,0.004,0.020,19,1 177
